NDinch,ODinch,NDmm,ODmm,Used,SCH40Wall
0.125,0.404,6,10.26,0,0.068
0.25,0.54,8,13.72,0,0.088
0.375,0.675,10,17.15,0,0.091
0.5,0.84,15,21.34,1,0.109
0.75,1.05,20,26.67,0,0.113
1,1.315,25,33.4,1,0.133
1.25,1.66,32,42.16,0,0.14
1.5,1.9,40,48.26,0,0.145
2,2.375,50,60.33,1,0.154
2.5,2.875,65,73.03,0,0.203
3,3.5,80,88.9,1,0.216
3.5,4,90,101.6,0,0.226
4,4.5,100,114.3,1,0.237
4.5,5,115,127,0,0.247
5,5.563,125,141.3,0,0.258
6,6.625,150,168.28,1,0.28
7,7.625,,193.68,0,0.301
8,8.625,200,219.08,1,0.322
9,9.625,,244.48,0,0.342
10,10.75,250,273.05,1,0.365
12,12.75,300,323.85,1,0.375
14,14,350,355.6,0,0.375
16,16,400,406.4,1,0.375
18,18,450,457.2,1,0.375
20,20,500,508,0,0.375
22,22,550,558.8,0,0.375
24,24,600,609.6,1,0.375
26,26,650,660.4,0,0.375
28,28,700,711.2,0,0.375
30,30,750,762,1,0.375
32,32,800,812.8,0,0.375
34,34,850,863.6,0,0.375
36,36,900,914.4,1,0.375
40,40,1000,1016,0,0.375
42,42,1050,1066.8,0,0.375
44,44,1100,1117.6,0,0.375
46,46,1150,1168.4,0,0.375
48,48,1200,1219.2,1,0.375
52,52,1300,1320.8,0,0.375
56,56,1400,1422.4,0,0.375
60,60,1500,1524,1,0.375
64,64,1600,1625.6,0,0.375
68,68,1700,1727.2,0,0.375
72,72,1800,1828.8,1,0.375
76,76,1900,1930.4,0,0.375
80,80,2000,2032,0,0.375
88,88,2200,2235.2,0,0.375
92,92,2300,2336.8,0,0.375
